"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
420;Assens;20-39;4507;2022-11-14
430;Faaborg-Midtfyn;20-39;5948;2022-11-14
440;Kerteminde;20-39;2786;2022-11-14
450;Nyborg;20-39;3840;2022-11-14
461;Odense;20-39;44884;2022-11-14
479;Svendborg;20-39;7947;2022-11-14
480;Nordfyn;20-39;3405;2022-11-14
482;Langeland;20-39;1094;2022-11-14
492;Ærø;20-39;438;2022-11-14
510;Haderslev;20-39;7078;2022-11-14
530;Billund;20-39;3464;2022-11-14
540;Sønderborg;20-39;9273;2022-11-14
550;Tønder;20-39;4233;2022-11-14
561;Esbjerg;20-39;18405;2022-11-14
563;Fanø;20-39;236;2022-11-14
573;Varde;20-39;6203;2022-11-14
575;Vejen;20-39;5527;2022-11-14
580;Aabenraa;20-39;7508;2022-11-14
607;Fredericia;20-39;7037;2022-11-14
615;Horsens;20-39;15954;2022-11-14
621;Kolding;20-39;13872;2022-11-14
630;Vejle;20-39;18156;2022-11-14
657;Herning;20-39;14057;2022-11-14
661;Holstebro;20-39;9467;2022-11-14
665;Lemvig;20-39;2183;2022-11-14
671;Struer;20-39;2352;2022-11-14
706;Syddjurs;20-39;4640;2022-11-14
707;Norddjurs;20-39;4222;2022-11-14
710;Favrskov;20-39;6281;2022-11-14
727;Odder;20-39;2630;2022-11-14
730;Randers;20-39;14946;2022-11-14
740;Silkeborg;20-39;14563;2022-11-14
741;Samsø;20-39;205;2022-11-14
746;Skanderborg;20-39;8807;2022-11-14
751;Århus;20-39;89416;2022-11-14
756;Ikast-Brande;20-39;5798;2022-11-14
760;Ringkøbing-Skjern;20-39;6877;2022-11-14
766;Hedensted;20-39;5970;2022-11-14
773;Morsø;20-39;2493;2022-11-14
779;Skive;20-39;5750;2022-11-14
787;Thisted;20-39;5705;2022-11-14
791;Viborg;20-39;13337;2022-11-14
810;Brønderslev;20-39;4873;2022-11-14
813;Frederikshavn;20-39;7284;2022-11-14
820;Vesthimmerland;20-39;4544;2022-11-14
825;Læsø;20-39;84;2022-11-14
840;Rebild;20-39;4367;2022-11-14
846;Mariagerfjord;20-39;5344;2022-11-14
849;Jammerbugt;20-39;4628;2022-11-14
851;Aalborg;20-39;48765;2022-11-14
860;Hjørring;20-39;8526;2022-11-14
961;;20-39;1;2022-11-14
;;40-64;4744;2022-11-14
010;;40-64;1;2022-11-14
011;;40-64;1476;2022-11-14
012;;40-64;30;2022-11-14
019;;40-64;408;2022-11-14
101;København;40-64;102604;2022-11-14
147;Frederiksberg;40-64;18136;2022-11-14
151;Ballerup;40-64;9892;2022-11-14
153;Brøndby;40-64;7061;2022-11-14
155;Dragør;40-64;3290;2022-11-14
157;Gentofte;40-64;15600;2022-11-14
159;Gladsaxe;40-64;13749;2022-11-14
161;Glostrup;40-64;4531;2022-11-14
163;Herlev;40-64;5952;2022-11-14
165;Albertslund;40-64;5547;2022-11-14
167;Hvidovre;40-64;11344;2022-11-14
169;Høje Tåstrup;40-64;10241;2022-11-14
173;Lyngby-Taarbæk;40-64;10923;2022-11-14
175;Rødovre;40-64;8524;2022-11-14
183;Ishøj;40-64;4714;2022-11-14
185;Tårnby;40-64;9447;2022-11-14
187;Vallensbæk;40-64;3337;2022-11-14
190;Furesø;40-64;8546;2022-11-14
201;Allerød;40-64;5589;2022-11-14
210;Fredensborg;40-64;8184;2022-11-14
217;Helsingør;40-64;12529;2022-11-14
